Name,Nationality,Team,Position,Age,Games,Games_starts,Minutes,Goals,Assists,Cards_yellow,Cards_red,Xg,Xg_assist,Progressive_carries,Progressive_passes,Progressive_passes_received,Goals_per90,Assists_per90,Xg_per90,Xg_assist_per90,Gk_goals_against_per90,Gk_save_pct,Gk_clean_sheet_pct,Gk_pens_save_pct,Shots_on_target_pct,Shots_per90,Goals_per_shot,Average_shot_distance,Passes_completed,Passes_pct,Passes_total_distance,Passes_pct_short,Passes_pct_medium,Passes_pct_long,Assisted_shots,Passes_into_final_third,Passes_into_penalty_area,Crosses_into_penalty_area,Progressive_passes.1,Sca,Sca_per90,Gca,Gca_per90,Tackles,Tackles_won,Challenge_tackles,Challenges_lost,Blocks,Blocked_shots,Blocked_passes,Interceptions,Touches,Touches_def_pen_area,Touches_def_3rd,Touches_mid_3rd,Touches_att_3rd,Touches_att_pen_area,Take_ons,Take_ons_won_pct,Take_ons_tackled_pct,Carries,Carries_progressive_distance,Progressive_carries.1,Carries_into_final_third,Carries_into_penalty_area,Miscontrols,Dispossessed,Passes_received,Progressive_passes_received.1,Fouls,Fouled,Offsides,Crosses,Ball_recoveries,Aerials_won,Aerials_lost,Aerials_won_pct,Price
Tosin Adarabioyo,ENG,Chelsea,DF,27-229,20,13,1229,1,1,3,0,0.9,0.2,5,37,1,0.07,0.07,0.07,0.02,,,,,16.7,0.88,0.08,12.5,988,91.4,18105,95.7,94.9,61.1,1,53,1,0,37,12,0.88,1,0.07,14,10,8,4,9,7,2,10,1198,160,570,603,26,13,5,80.0,0.0,713,1690,5,2,0,3,0,916,1,8,6,1,0,34,36,26,58.1,Free
Joachim Andersen,DK,Fulham,DF,28-345,27,27,2403,0,0,5,1,1.0,0.3,16,111,2,0.0,0.0,0.04,0.01,,,,,22.2,0.67,0.0,15.0,1546,82.9,34278,91.6,93.5,55.6,3,188,6,3,111,31,1.17,2,0.08,26,18,14,7,33,26,7,32,2181,305,1127,970,96,21,7,57.1,14.3,1267,3301,16,14,1,6,3,1511,2,17,17,0,11,110,67,38,63.8,€29.5M
Elliot Anderson,ENG,Nott'ham Forest,MF,22-186,34,30,2467,2,6,7,0,1.9,3.1,46,128,87,0.07,0.22,0.07,0.11,,,,,18.9,1.35,0.05,19.4,949,77.6,15198,89.1,80.3,45.7,34,105,19,2,128,78,2.85,10,0.36,84,52,43,57,44,9,35,30,1630,95,388,775,496,62,73,49.3,39.7,820,2094,46,31,19,56,41,956,87,43,55,4,78,197,47,23,67.1,€41.2M
André,BR,Wolves,MF,23-299,31,29,2337,0,0,7,0,0.4,0.8,8,97,11,0.0,0.0,0.02,0.03,,,,,11.1,0.35,0.0,25.3,1177,92.8,18569,95.3,95.2,79.6,16,103,4,0,97,46,1.77,3,0.12,88,53,35,26,42,8,34,35,1535,88,419,987,144,3,30,50.0,36.7,849,1521,8,15,0,27,21,1032,11,35,33,0,0,187,2,6,25.0,€22M
Jordan Ayew,GH,Leicester City,FWMF,33-242,27,16,1425,5,0,5,0,3.0,1.0,42,37,77,0.32,0.0,0.19,0.06,,,,,28.6,1.77,0.14,18.8,353,72.9,5238,86.5,73.7,38.9,14,22,12,7,37,35,2.21,2,0.13,24,13,6,13,16,0,16,12,708,18,92,356,282,49,59,39.0,50.8,425,1281,42,31,9,52,34,474,77,29,48,6,57,87,33,54,37.9,€5.9M
Sepp van den Berg,NL,Brentford,DF,23-142,29,27,2406,0,0,2,0,1.8,0.5,10,74,27,0.0,0.0,0.07,0.02,,,,,29.4,0.64,0.0,10.5,1007,85.1,17559,88.0,89.4,64.1,5,59,3,1,74,21,0.79,2,0.07,37,22,18,9,51,37,14,20,1491,260,753,581,161,43,7,57.1,42.9,672,1769,10,9,1,15,7,846,27,20,5,1,7,92,85,66,56.3,€23.6M
Sander Berge,NO,Fulham,MF,27-086,29,25,2173,0,0,6,0,0.2,0.6,28,119,9,0.0,0.0,0.01,0.03,,,,,0.0,0.08,0.0,7.6,1060,91.3,18885,91.8,94.4,83.5,18,113,4,0,119,43,1.78,2,0.08,48,28,25,12,26,8,18,21,1345,78,366,774,211,13,20,55.0,30.0,785,1998,28,23,2,15,16,873,9,31,10,0,3,122,28,21,57.1,€23.6M
Lucas Bergvall,SE,Tottenham,MF,19-098,27,11,1212,0,1,3,0,0.7,0.6,33,49,31,0.0,0.07,0.05,0.04,,,,,16.7,0.89,0.0,19.9,629,87.4,10567,91.9,89.8,74.6,11,53,7,3,49,22,1.63,4,0.3,39,19,17,15,18,8,10,24,885,36,188,478,232,22,45,46.7,44.4,531,1634,33,21,4,20,19,586,31,20,17,0,21,73,9,8,52.9,€10M
Jack Clarke,ENG,Ipswich Town,FWMF,24-169,30,11,1090,0,4,2,0,1.0,2.1,34,38,48,0.0,0.33,0.08,0.17,,,,,14.3,1.16,0.0,19.4,276,76.7,4537,87.0,86.1,50.0,25,27,7,0,38,43,3.55,5,0.41,28,17,16,16,6,0,6,7,501,23,119,204,192,32,42,52.4,33.3,278,1064,34,19,9,21,18,303,48,15,21,3,13,68,7,17,29.2,€17.7M
Liam Delap,ENG,Ipswich Town,FW,22-092,35,32,2552,12,2,10,0,9.3,1.9,60,30,107,0.42,0.07,0.33,0.07,,,,,44.6,2.29,0.15,15.9,216,61.2,2980,70.8,63.6,37.5,21,17,6,0,30,62,2.19,7,0.25,11,8,2,12,8,0,8,2,674,29,78,287,331,90,86,46.5,43.0,440,1579,60,46,29,101,58,530,107,68,50,13,5,67,54,74,42.2,€17.9M
Flynn Downes,ENG,Southampton,MF,26-111,25,23,1971,1,0,11,0,0.6,1.1,25,63,29,0.05,0.0,0.03,0.05,,,,,30.0,0.46,0.1,18.7,906,90.0,13223,92.7,91.6,68.8,15,54,12,0,63,31,1.42,2,0.09,46,24,15,19,24,6,18,31,1219,87,369,645,214,21,16,31.3,50.0,579,1626,25,21,4,13,17,852,29,47,36,0,3,76,17,13,56.7,€17.9M
Archie Gray,ENG,Tottenham,DFMF,19-060,25,16,1481,0,0,0,0,0.0,0.1,6,34,15,0.0,0.0,0.0,0.01,,,,,100.0,0.06,0.0,24.6,939,88.2,16414,92.3,92.7,59.1,2,39,0,0,34,5,0.3,0,0.0,13,7,7,10,19,10,9,13,1179,139,564,537,88,2,11,54.5,36.4,816,1551,6,5,0,9,10,881,15,9,11,0,13,59,10,9,52.6,€41.3M
İlkay Gündoğan,DE,Manchester City,MF,34-199,31,23,2050,0,5,1,0,2.7,2.8,57,115,86,0.0,0.22,0.12,0.12,,,,,20.0,1.1,0.0,18.3,1408,89.3,21666,94.4,91.9,62.9,37,97,21,2,115,74,3.25,11,0.48,24,13,10,13,14,0,14,13,1748,43,256,848,664,60,35,45.7,37.1,1035,2813,57,52,9,27,24,1366,86,15,21,0,57,105,13,11,54.2,Free
Lewis Hall,ENG,Newcastle Utd,DF,20-245,27,24,2189,0,4,3,0,0.4,4.3,41,123,80,0.0,0.16,0.02,0.18,,,,,9.1,0.45,0.0,18.8,1300,81.7,21999,91.3,85.1,51.5,34,114,17,5,123,63,2.59,6,0.25,58,41,40,34,33,18,15,18,1820,95,623,804,414,47,21,52.4,33.3,950,2358,41,22,13,33,20,1094,80,9,21,1,110,119,30,31,49.2,€33M
Maxence Lacroix,FR,Crystal Palace,DF,25-035,32,32,2846,1,1,5,0,3.1,0.8,8,61,7,0.03,0.03,0.1,0.02,,,,,17.2,0.92,0.03,11.1,1125,81.5,23175,85.2,90.6,54.3,6,67,3,1,61,26,0.82,4,0.13,67,40,32,15,43,18,25,52,1805,331,1095,637,80,42,14,57.1,28.6,962,2079,8,4,0,21,4,1062,7,33,18,1,6,123,57,46,55.3,€18M
Orel Mangala,BE,Everton,MF,27-054,19,14,1261,1,0,2,0,1.1,0.6,6,34,19,0.07,0.0,0.08,0.05,,,,,37.5,1.14,0.06,22.1,437,89.2,6998,90.5,94.9,76.7,8,50,8,1,34,24,1.72,1,0.07,16,8,5,3,8,3,5,21,621,22,133,335,157,13,24,58.3,37.5,298,576,6,6,3,12,12,406,19,24,17,2,6,49,6,8,42.9,€23.4M
Omar Marmoush,EG,Manchester City,FWMF,26-093,14,12,1005,6,0,0,0,4.9,1.7,22,29,68,0.54,0.0,0.44,0.15,,,,,40.0,3.58,0.15,17.8,203,78.1,2782,83.6,79.7,50.0,13,8,24,4,29,33,2.96,1,0.09,11,6,7,8,15,1,14,5,421,3,30,122,276,60,41,41.5,46.3,264,822,22,16,11,37,15,297,68,13,17,9,25,33,5,9,35.7,€75M
Nikola Milenković,RS,Nott'ham Forest,DF,27-211,34,34,3060,4,2,4,0,3.6,1.0,3,49,6,0.12,0.06,0.1,0.03,,,,,26.9,0.76,0.15,12.1,748,81.2,15092,86.8,87.6,60.8,8,48,2,0,49,18,0.53,3,0.09,43,26,21,6,40,24,16,25,1268,242,700,490,82,59,1,100.0,0.0,486,963,3,3,2,2,2,638,6,18,4,1,0,75,96,37,72.2,€12.3M
Yankuba Minteh,GM,Brighton,FWMF,20-293,30,18,1666,6,4,6,0,4.0,4.9,76,42,175,0.32,0.22,0.21,0.26,,,,,48.4,1.67,0.19,14.1,309,62.2,4990,78.0,62.6,46.2,27,13,31,8,42,56,3.03,11,0.59,47,34,17,28,21,0,21,11,757,30,131,217,427,124,85,47.1,44.7,431,1843,76,21,57,49,24,447,175,20,10,5,79,78,16,33,32.7,€35M
Marshall Munetsi,ZW,Wolves,MFFW,28-323,12,11,968,1,1,0,0,3.2,1.6,7,8,28,0.09,0.09,0.29,0.15,,,,,31.6,1.77,0.05,13.9,132,71.4,1590,78.0,72.0,33.3,8,4,2,1,8,16,1.49,1,0.09,22,10,12,9,13,1,12,6,323,18,54,168,104,29,10,20.0,70.0,124,165,7,3,3,30,12,159,28,17,10,3,6,31,26,19,57.8,€18M
Iliman Ndiaye,SN,Everton,FW,25-066,31,27,2282,7,0,3,0,5.2,1.6,81,52,115,0.28,0.0,0.21,0.06,,,,,40.6,1.26,0.16,17.4,547,80.9,8207,86.2,86.2,68.0,17,35,14,5,52,61,2.41,6,0.24,48,25,19,26,27,5,22,17,1005,34,204,413,436,77,137,46.0,46.7,579,2226,81,41,30,49,43,617,115,24,48,5,38,163,6,19,24.0,€18M
Pedro Neto,PT,Chelsea,FW,25-063,32,21,2013,4,5,8,0,2.9,6.1,118,57,229,0.18,0.22,0.13,0.27,,,,,29.6,2.41,0.07,18.8,632,78.6,10311,92.9,81.5,47.9,44,29,35,22,57,85,3.8,8,0.36,22,9,8,11,13,2,11,9,1034,12,92,302,657,108,92,32.6,43.5,672,3004,118,52,42,40,25,753,229,19,29,3,133,71,10,26,27.8,€60M
Matt O'Riley,DK,Brighton,MF,24-171,19,11,905,1,1,1,0,2.0,1.7,20,36,49,0.1,0.1,0.2,0.17,,,,,28.6,2.09,0.05,17.0,301,76.4,4765,88.4,81.7,46.8,19,30,8,1,36,38,3.78,4,0.4,16,9,4,9,7,3,4,13,503,19,76,228,201,42,13,61.5,30.8,259,518,20,11,8,17,3,291,49,15,13,1,46,28,5,8,38.5,€29.5M
Dara O'Shea,IE,Ipswich Town,DF,26-068,33,33,2942,0,2,6,0,1.2,0.5,3,73,8,0.0,0.06,0.04,0.02,,,,,10.0,0.61,0.0,13.6,1146,77.7,22826,86.7,85.3,49.2,3,83,3,1,73,22,0.67,4,0.12,47,30,20,11,61,49,12,31,1892,377,1104,673,120,48,2,50.0,50.0,826,1837,3,2,0,11,4,1082,8,18,22,3,7,106,105,79,57.1,€14.2M
Caleb Okoli,IT,Leicester City,DF,23-302,18,12,1124,1,0,4,0,0.6,0.0,3,32,2,0.08,0.0,0.05,0.0,,,,,50.0,0.32,0.25,13.5,558,86.4,9738,91.3,91.0,55.4,0,21,1,0,32,4,0.32,0,0.0,25,14,11,7,24,14,10,15,804,152,450,324,35,10,0,,,467,1106,3,6,0,10,2,483,2,16,9,0,1,44,23,21,52.3,€14M
Amadou Onana,BE,Aston Villa,MF,23-268,24,18,1468,3,0,4,0,2.1,0.3,24,63,15,0.18,0.0,0.13,0.02,,,,,35.3,1.04,0.18,14.7,637,87.6,9995,92.9,89.3,69.2,8,58,9,1,63,29,1.78,4,0.25,49,24,14,13,15,7,8,25,912,70,252,536,140,22,18,66.7,16.7,496,1400,24,22,1,11,9,610,15,31,28,0,1,70,30,19,61.2,€59.4M
Aaron Ramsdale,ENG,Southampton,GK,26-362,28,28,2520,0,0,2,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2.21,67.8,,28.6,,0.0,,,737,63.9,20926,99.5,96.3,38.2,0,33,1,0,0,3,0.11,0,0.0,0,0,0,2,0,0,0,2,1240,896,1214,30,0,0,0,,,745,2239,0,0,0,3,0,665,0,1,4,0,0,20,6,0,100.0,€21.4M
David Raya,ES,Arsenal,GK,29-238,35,35,3150,0,0,2,0,0.0,0.0,0,13,0,0.0,0.0,0.0,0.0,0.89,74.1,,0.0,,0.0,,,979,74.6,23137,98.9,98.3,38.2,0,41,2,0,13,4,0.11,1,0.03,0,0,0,2,0,0,0,2,1367,802,1284,83,0,0,1,100.0,0.0,856,2563,0,0,0,1,0,789,0,1,9,0,0,38,10,0,100.0,€31.9M
Emile Smith Rowe,ENG,Fulham,MF,24-287,32,24,1948,6,3,2,0,4.4,1.4,52,121,121,0.28,0.14,0.2,0.06,,,,,28.6,1.62,0.17,15.6,880,90.1,12546,92.3,94.9,71.4,21,78,15,1,121,68,3.14,12,0.55,31,18,8,16,21,2,19,11,1170,20,158,561,461,58,33,48.5,45.5,756,1903,52,40,12,35,16,902,121,18,14,4,15,73,6,17,26.1,€31.8M
Georginio Rutter,FR,Brighton,MFFW,23-021,28,19,1656,5,3,2,0,4.6,2.5,42,67,79,0.27,0.16,0.25,0.14,,,,,24.0,2.72,0.1,15.5,237,66.8,3344,77.0,66.7,62.5,19,30,16,1,67,64,3.47,8,0.43,39,15,14,22,20,3,17,10,641,20,83,246,326,79,71,38.0,47.9,361,1405,42,36,16,45,37,411,79,34,45,7,9,66,25,46,35.2,€46.7M
Oliver Skipp,ENG,Leicester City,MF,24-237,21,8,996,0,0,8,0,0.2,0.3,16,31,19,0.0,0.0,0.01,0.02,,,,,25.0,0.36,0.0,21.0,392,85.0,5965,88.5,93.3,59.4,9,30,4,0,31,14,1.27,0,0.0,20,4,9,6,17,4,13,10,557,24,121,350,90,7,11,54.5,45.5,321,629,16,7,3,11,5,390,19,19,13,0,5,40,10,6,62.5,€23.5M
Dominic Solanke,ENG,Tottenham,FW,27-239,25,24,2119,8,3,0,0,10.1,2.9,29,45,88,0.34,0.13,0.43,0.13,,,,,40.7,2.51,0.14,12.1,250,71.0,3344,76.1,77.1,66.7,14,27,9,0,45,37,1.57,8,0.34,18,11,4,10,18,7,11,0,636,31,68,290,284,111,50,32.0,62.0,374,803,29,21,14,67,47,448,88,36,36,5,4,37,44,59,42.7,€64.3M
Yukinari Sugawara,JP,Southampton,DFMF,24-317,29,15,1467,1,1,4,0,0.5,2.2,32,68,76,0.06,0.06,0.03,0.14,,,,,38.5,0.8,0.08,19.2,689,79.9,10831,88.2,82.9,47.9,17,43,21,9,68,39,2.39,1,0.06,29,16,18,12,17,7,10,10,1023,61,306,395,327,29,20,45.0,50.0,553,1354,32,15,7,18,4,692,76,15,9,4,69,40,5,9,35.7,€7M
Sávio,BR,Manchester City,FWMF,21-031,28,21,1749,1,8,3,0,5.1,6.9,135,66,244,0.05,0.41,0.26,0.36,,,,,38.2,2.83,0.02,17.6,689,80.9,10261,89.9,80.2,56.4,46,19,47,8,66,111,5.71,15,0.77,23,17,10,9,14,2,12,6,1091,14,55,283,772,153,113,46.0,35.4,779,3538,135,44,74,42,38,847,244,17,27,3,84,79,1,2,33.3,€25M
Leny Yoro,FR,Manchester Utd,DF,19-179,20,11,1114,0,0,5,0,0.7,0.1,19,52,4,0.0,0.0,0.06,0.01,,,,,20.0,0.4,0.0,8.6,667,92.1,10721,95.3,93.9,65.0,2,43,5,1,52,8,0.65,0,0.0,26,11,11,6,5,3,2,18,847,83,395,385,70,13,4,50.0,50.0,577,1646,19,13,1,3,4,615,4,9,2,1,1,45,16,15,51.6,€62M
Joshua Zirkzee,NL,Manchester Utd,FWMF,23-354,32,14,1402,3,1,2,0,4.8,1.5,14,44,69,0.19,0.06,0.31,0.1,,,,,39.3,1.8,0.11,13.1,292,71.2,3600,78.1,74.4,50.0,12,26,6,0,44,31,1.99,3,0.19,14,8,5,5,15,4,11,6,587,16,71,303,219,56,35,31.4,68.6,327,523,14,21,4,41,30,418,69,9,13,3,4,57,21,54,28.0,€42.5M
